first_name,last_name,image_link,spotify_link,yt_link,info,id,more_link
Giorgos,Sabanis,"https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/sabanis.jpg
","https://open.spotify.com/artist/6ZGwdAmu91r8mpA6SXodzd
","https://www.youtube.com/channel/UCy_gdJqlcwkSicMyOyCuf1Q
",,singer,
Marina,Satti,"https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/satti.jpg
","https://open.spotify.com/artist/2W4apaxME2OLw8qqhZK7aJ
","https://www.youtube.com/@marina_satti
",,singer,
Dionysis,Savvopoulos,"https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/savvopoulos.jpg
","https://open.spotify.com/artist/1QZ7r36PUiIEvT05v1kKt1?autoplay=true
","https://www.youtube.com/@dionysis.savvopoulos
",,singer,
Markos,Seferlis,https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/seferlis.jpg,,,,actor,"https://www.more.com/gr-el/artists/markosseferlis/
"
Notis,Sfakianakis,"https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/sfakianakis.jpg
","https://open.spotify.com/artist/31ID15xoalmnSgwPhHJZrR
","https://www.youtube.com/channel/UC3TCZbpudv5Jqj40eAW7pmA
",,singer,
Marina,Spanou,"https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/spanou.jpg
","https://open.spotify.com/artist/3CHVx21sE8rj1BnqRHukdz
","https://www.youtube.com/@marinaspanou
",,singer,
Stavento,,"https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/stavento.jpg
","https://open.spotify.com/artist/43LNzVQi3AUDm6NGSlg4BK
","https://www.youtube.com/@StaventoTv
",,singer,
Nikos,Stavridis,https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/stavridis.jpg,,,,actor,
Viki,Stavropoulou,https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/stavropoulou.jpg,,,,actor,
Dionisis,Sxoinas,"https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/sxoinas.jpg
","https://open.spotify.com/artist/6FffkdwR4hVKiG143YFJPb?autoplay=true
","https://www.youtube.com/channel/UCjXHViqRN8MfQDWN21movXA
",,singer,
Tamta,,"https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/tamta.jpg
","https://open.spotify.com/artist/0VGybH10ziMPo99SYOwMoQ
","https://www.youtube.com/@tamtaofficial
",,singer,
Paschalis,Terzis,"https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/terzis.jpg
","https://open.spotify.com/artist/1va4ozW68yYx2bjxzk29gs
","https://www.youtube.com/channel/UCzhGph1DxpS3ZWZMl5JDRRQ
",,singer,
Mikis,Theodorakis,"https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/theodorakis.jpg
","https://open.spotify.com/artist/58EvYFzDGAQOmBpIOxujnj
","https://www.youtube.com/channel/UCviFoumTGvTWWeP0auM7fuA
",,singer,
Natassa,Theodoridou,"https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/theodoridou.jpg
","https://open.spotify.com/artist/4hw4chBwI0fvJltPiQxPPD
","https://www.youtube.com/@natasatheodoridouofficial
",,singer,
Thanasis,Tsaltabasis,https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/tsaltabasis.jpg,,,,actor,
Giannis,Tsimitselis,https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/tsimitselis.jpg,,,,actor,
Nora,Valsami,https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/valsami.jpg,,,,actor,
Despoina,Vandi,"https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/vandi.jpg
","https://open.spotify.com/artist/4aJpTCLUTPTeXfn3c9r9F0
","https://www.youtube.com/@despinavandiofficial
",,singer,
Georgia,Vasiliadou,https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/vasiliadou.jpg,,,,actor,
Thanasis,Veggos,https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/veggos.jpg,,,,actor,
